sequence_id_1,sequence_id_2,similarity_score
BFO63100.1,BGC0000004.3,0.0
WP_379036518.1,BGC0000004.3,0.0
WP_394088603.1,BGC0000004.3,0.0
BAT47513.1,BGC0000004.3,0.0
BAT47515.1,BGC0000004.3,0.0
WP_393996635.1,BGC0000004.3,0.0
WP_394111076.1,BGC0000004.3,0.0
WP_393957544.1,BGC0000004.3,0.0
BGC0000019.5,WP_404359873.1,0.0
WP_375275745.1,WP_404359873.1,0.0
WP_405707408.1,WP_404359873.1,0.0
WP_395697023.1,WP_404359873.1,0.0
WP_394032341.1,WP_404359873.1,0.0
XHV06635.1,WP_404359873.1,0.0
XJV75695.1,WP_404359873.1,0.0
WP_407866493.1,WP_404359873.1,0.0
WP_393988544.1,WP_404359873.1,0.0
WP_411903715.1,WP_404359873.1,0.0
WP_394040999.1,WP_404359873.1,0.0
WP_394076167.1,WP_404359873.1,0.0
XMF84248.1,WP_404359873.1,0.0
WP_395664523.1,WP_404359873.1,0.0
WP_412968760.1,WP_404359873.1,0.0
WP_138398174.1,WP_404359873.1,0.0
WP_407340944.1,WP_404359873.1,0.0
WP_374341810.1,WP_404359873.1,0.0
BGC0000004.3,WP_404359873.1,0.0
WP_404359873.1,WP_404359873.1,100.0
WP_393978746.1,WP_404359873.1,0.0
WP_407271027.1,WP_404359873.1,0.0
CAM3577162.1,WP_404359873.1,0.0
WP_374249988.1,WP_404359873.1,0.0
BGC0000014.5,WP_404359873.1,0.0
WP_209484166.1,WP_404359873.1,0.0
BGC0000002.5,WP_404359873.1,80.0
ABR83084.1,WP_404359873.1,0.0
BGC0000027.4,WP_404359873.1,0.0
WP_393991883.1,WP_404359873.1,0.0
WP_409562062.1,WP_404359873.1,0.0
BGC0000011.3,WP_404359873.1,0.0
WP_394111893.1,WP_404359873.1,0.0
XNO08232.1,WP_404359873.1,0.0
WP_391515705.1,WP_404359873.1,0.0
XKG22298.1,WP_404359873.1,0.0
WP_341081218.1,WP_404359873.1,0.0
XNO08231.1,WP_404359873.1,0.0
BGC0000028.5,WP_404359873.1,0.0
CAI8805946.1,WP_404359873.1,0.0
BGC0000021.5,WP_404359873.1,0.0
WP_405029742.1,WP_404359873.1,0.0
WP_407995214.1,WP_404359873.1,0.0
WP_394038837.1,WP_404359873.1,0.0
ARO18898.1,WP_404359873.1,0.0
BGC0000008.3,WP_404359873.1,0.0
WP_394034628.1,WP_404359873.1,0.0
BGC0000007.3,WP_404359873.1,0.0
WP_393984481.1,WP_404359873.1,0.0
WP_231883699.1,WP_404359873.1,0.0
WP_394008175.1,WP_404359873.1,0.0
BAT47512.1,WP_404359873.1,0.0
BGC0000006.3,WP_404359873.1,0.0
WP_409853016.1,WP_404359873.1,0.0
BGC0000017.5,WP_404359873.1,0.0
WP_394105113.1,WP_404359873.1,0.0
XHH54078.1,WP_404359873.1,0.0
BGC0000022.3,WP_404359873.1,0.0
WP_394091412.1,WP_404359873.1,0.0
WP_393975098.1,WP_404359873.1,0.0
BGC0000020.3,WP_404359873.1,0.0
WP_246736987.1,WP_404359873.1,0.0
WP_377874665.1,WP_404359873.1,0.0
WP_374374627.1,WP_404359873.1,0.0
WP_403409309.1,WP_404359873.1,0.0
WP_390290327.1,WP_404359873.1,0.0
WP_394058857.1,WP_404359873.1,0.0
WP_394946084.1,WP_404359873.1,0.0
UYT19774.1,WP_404359873.1,0.0
XOL52311.1,WP_404359873.1,0.0
XCP53806.1,WP_404359873.1,0.0
WP_415070495.1,WP_404359873.1,0.0
BGC0000010.3,WP_404359873.1,0.0
WP_402758273.1,WP_404359873.1,0.0
WP_400880729.1,WP_404359873.1,0.0
BGC0000023.5,WP_404359873.1,0.0
WP_148045554.1,WP_404359873.1,0.0
pdb|2N6Z|A,WP_404359873.1,0.0
WP_379130331.1,WP_404359873.1,0.0
WP_391559211.1,WP_404359873.1,0.0
WP_379090270.1,WP_404359873.1,0.0
WP_374309088.1,WP_404359873.1,0.0
WP_391375990.1,WP_404359873.1,0.0
BAT47516.1,WP_404359873.1,0.0
WP_378845721.1,WP_404359873.1,0.0
BGC0000026.5,WP_404359873.1,0.0
BGC0000003.3,WP_404359873.1,0.0
WP_394077114.1,WP_404359873.1,0.0
WP_407995776.1,WP_404359873.1,0.0
WP_414461653.1,WP_404359873.1,0.0
BGC0000024.5,WP_404359873.1,0.0
BGC0000018.5,WP_404359873.1,0.0
BGC0000016.4,WP_404359873.1,0.0
WP_394067533.1,WP_404359873.1,0.0
BGC0000001.5,WP_404359873.1,64.71
WP_394064521.1,WP_404359873.1,0.0
BAT47514.1,WP_404359873.1,0.0
WP_394081549.1,WP_404359873.1,0.0
WP_171695355.1,WP_404359873.1,0.0
WP_409979092.1,WP_404359873.1,0.0
WP_394100829.1,WP_404359873.1,0.0
BGC0000012.3,WP_404359873.1,0.0
WP_400765736.1,WP_404359873.1,0.0
WP_414116387.1,WP_404359873.1,0.0
WP_414590999.1,WP_404359873.1,0.0
XMG51263.1,WP_404359873.1,0.0
CAM2763972.1,WP_404359873.1,0.0
BGC0000009.3,WP_404359873.1,0.0
CAM3652502.1,WP_404359873.1,0.0
WP_402798883.1,WP_404359873.1,0.0
BFO63100.1,WP_404359873.1,0.0
WP_379036518.1,WP_404359873.1,0.0
WP_394088603.1,WP_404359873.1,0.0
BAT47513.1,WP_404359873.1,0.0
BAT47515.1,WP_404359873.1,0.0
WP_393996635.1,WP_404359873.1,0.0
WP_394111076.1,WP_404359873.1,0.0
WP_393957544.1,WP_404359873.1,0.0
BGC0000019.5,WP_393978746.1,0.0
WP_375275745.1,WP_393978746.1,0.0
WP_405707408.1,WP_393978746.1,0.0
WP_395697023.1,WP_393978746.1,0.0
WP_394032341.1,WP_393978746.1,0.0
XHV06635.1,WP_393978746.1,0.0
XJV75695.1,WP_393978746.1,0.0
WP_407866493.1,WP_393978746.1,0.0
WP_393988544.1,WP_393978746.1,0.0
WP_411903715.1,WP_393978746.1,0.0
WP_394040999.1,WP_393978746.1,0.0
WP_394076167.1,WP_393978746.1,0.0
XMF84248.1,WP_393978746.1,0.0
WP_395664523.1,WP_393978746.1,0.0
WP_412968760.1,WP_393978746.1,0.0
WP_138398174.1,WP_393978746.1,0.0
WP_407340944.1,WP_393978746.1,0.0
WP_374341810.1,WP_393978746.1,0.0
BGC0000004.3,WP_393978746.1,0.0
WP_404359873.1,WP_393978746.1,0.0
WP_393978746.1,WP_393978746.1,100.0
WP_407271027.1,WP_393978746.1,0.0
CAM3577162.1,WP_393978746.1,0.0
WP_374249988.1,WP_393978746.1,0.0
BGC0000014.5,WP_393978746.1,50.98
WP_209484166.1,WP_393978746.1,0.0
BGC0000002.5,WP_393978746.1,0.0
ABR83084.1,WP_393978746.1,0.0
BGC0000027.4,WP_393978746.1,0.0
WP_393991883.1,WP_393978746.1,0.0
WP_409562062.1,WP_393978746.1,0.0
BGC0000011.3,WP_393978746.1,0.0
WP_394111893.1,WP_393978746.1,0.0
XNO08232.1,WP_393978746.1,0.0
WP_391515705.1,WP_393978746.1,0.0
XKG22298.1,WP_393978746.1,0.0
WP_341081218.1,WP_393978746.1,0.0
XNO08231.1,WP_393978746.1,0.0
BGC0000028.5,WP_393978746.1,66.67
CAI8805946.1,WP_393978746.1,0.0
BGC0000021.5,WP_393978746.1,0.0
WP_405029742.1,WP_393978746.1,0.0
WP_407995214.1,WP_393978746.1,0.0
WP_394038837.1,WP_393978746.1,0.0
ARO18898.1,WP_393978746.1,0.0
BGC0000008.3,WP_393978746.1,0.0
WP_394034628.1,WP_393978746.1,0.0
BGC0000007.3,WP_393978746.1,0.0
WP_393984481.1,WP_393978746.1,0.0
WP_231883699.1,WP_393978746.1,0.0
WP_394008175.1,WP_393978746.1,0.0
BAT47512.1,WP_393978746.1,0.0
BGC0000006.3,WP_393978746.1,0.0
WP_409853016.1,WP_393978746.1,0.0
BGC0000017.5,WP_393978746.1,0.0
WP_394105113.1,WP_393978746.1,0.0
XHH54078.1,WP_393978746.1,0.0
BGC0000022.3,WP_393978746.1,0.0
WP_394091412.1,WP_393978746.1,0.0
WP_393975098.1,WP_393978746.1,0.0
BGC0000020.3,WP_393978746.1,0.0
WP_246736987.1,WP_393978746.1,0.0
WP_377874665.1,WP_393978746.1,0.0
WP_374374627.1,WP_393978746.1,0.0
WP_403409309.1,WP_393978746.1,0.0
WP_390290327.1,WP_393978746.1,0.0
WP_394058857.1,WP_393978746.1,0.0
WP_394946084.1,WP_393978746.1,0.0
UYT19774.1,WP_393978746.1,0.0
XOL52311.1,WP_393978746.1,0.0
XCP53806.1,WP_393978746.1,0.0
WP_415070495.1,WP_393978746.1,0.0
BGC0000010.3,WP_393978746.1,0.0
WP_402758273.1,WP_393978746.1,0.0
WP_400880729.1,WP_393978746.1,0.0
BGC0000023.5,WP_393978746.1,0.0
WP_148045554.1,WP_393978746.1,0.0
pdb|2N6Z|A,WP_393978746.1,0.0
WP_379130331.1,WP_393978746.1,0.0
WP_391559211.1,WP_393978746.1,0.0
WP_379090270.1,WP_393978746.1,0.0
WP_374309088.1,WP_393978746.1,0.0
WP_391375990.1,WP_393978746.1,0.0
BAT47516.1,WP_393978746.1,0.0
WP_378845721.1,WP_393978746.1,0.0
BGC0000026.5,WP_393978746.1,0.0
BGC0000003.3,WP_393978746.1,0.0
WP_394077114.1,WP_393978746.1,0.0
WP_407995776.1,WP_393978746.1,0.0
WP_414461653.1,WP_393978746.1,0.0
BGC0000024.5,WP_393978746.1,0.0
BGC0000018.5,WP_393978746.1,66.67
BGC0000016.4,WP_393978746.1,0.0
WP_394067533.1,WP_393978746.1,0.0
BGC0000001.5,WP_393978746.1,76.92
WP_394064521.1,WP_393978746.1,0.0
BAT47514.1,WP_393978746.1,0.0
WP_394081549.1,WP_393978746.1,0.0
WP_171695355.1,WP_393978746.1,0.0
WP_409979092.1,WP_393978746.1,0.0
WP_394100829.1,WP_393978746.1,0.0
BGC0000012.3,WP_393978746.1,0.0
WP_400765736.1,WP_393978746.1,0.0
WP_414116387.1,WP_393978746.1,0.0
WP_414590999.1,WP_393978746.1,0.0
XMG51263.1,WP_393978746.1,0.0
CAM2763972.1,WP_393978746.1,0.0
BGC0000009.3,WP_393978746.1,0.0
CAM3652502.1,WP_393978746.1,0.0
WP_402798883.1,WP_393978746.1,0.0
BFO63100.1,WP_393978746.1,0.0
WP_379036518.1,WP_393978746.1,0.0
WP_394088603.1,WP_393978746.1,0.0
BAT47513.1,WP_393978746.1,0.0
BAT47515.1,WP_393978746.1,0.0
WP_393996635.1,WP_393978746.1,0.0
WP_394111076.1,WP_393978746.1,0.0
WP_393957544.1,WP_393978746.1,0.0
BGC0000019.5,WP_407271027.1,0.0
WP_375275745.1,WP_407271027.1,0.0
WP_405707408.1,WP_407271027.1,0.0
WP_395697023.1,WP_407271027.1,0.0
WP_394032341.1,WP_407271027.1,0.0
XHV06635.1,WP_407271027.1,0.0
XJV75695.1,WP_407271027.1,0.0
WP_407866493.1,WP_407271027.1,0.0
WP_393988544.1,WP_407271027.1,0.0
WP_411903715.1,WP_407271027.1,0.0
WP_394040999.1,WP_407271027.1,0.0
WP_394076167.1,WP_407271027.1,0.0
XMF84248.1,WP_407271027.1,0.0
WP_395664523.1,WP_407271027.1,0.0
WP_412968760.1,WP_407271027.1,0.0
WP_138398174.1,WP_407271027.1,0.0
WP_407340944.1,WP_407271027.1,0.0
WP_374341810.1,WP_407271027.1,0.0
BGC0000004.3,WP_407271027.1,0.0
WP_404359873.1,WP_407271027.1,0.0
WP_393978746.1,WP_407271027.1,0.0
WP_407271027.1,WP_407271027.1,100.0
CAM3577162.1,WP_407271027.1,0.0
WP_374249988.1,WP_407271027.1,0.0
BGC0000014.5,WP_407271027.1,69.23
WP_209484166.1,WP_407271027.1,0.0
BGC0000002.5,WP_407271027.1,66.67
ABR83084.1,WP_407271027.1,0.0
BGC0000027.4,WP_407271027.1,0.0
WP_393991883.1,WP_407271027.1,0.0
WP_409562062.1,WP_407271027.1,0.0
BGC0000011.3,WP_407271027.1,0.0
WP_394111893.1,WP_407271027.1,0.0
XNO08232.1,WP_407271027.1,0.0
WP_391515705.1,WP_407271027.1,0.0
XKG22298.1,WP_407271027.1,0.0
WP_341081218.1,WP_407271027.1,0.0
XNO08231.1,WP_407271027.1,0.0
BGC0000028.5,WP_407271027.1,0.0
CAI8805946.1,WP_407271027.1,0.0
BGC0000021.5,WP_407271027.1,0.0
WP_405029742.1,WP_407271027.1,0.0
WP_407995214.1,WP_407271027.1,0.0
WP_394038837.1,WP_407271027.1,0.0
ARO18898.1,WP_407271027.1,0.0
BGC0000008.3,WP_407271027.1,0.0
WP_394034628.1,WP_407271027.1,0.0
BGC0000007.3,WP_407271027.1,77.78
WP_393984481.1,WP_407271027.1,0.0
WP_231883699.1,WP_407271027.1,0.0
WP_394008175.1,WP_407271027.1,0.0
BAT47512.1,WP_407271027.1,0.0
BGC0000006.3,WP_407271027.1,0.0
WP_409853016.1,WP_407271027.1,0.0
BGC0000017.5,WP_407271027.1,0.0
WP_394105113.1,WP_407271027.1,0.0
XHH54078.1,WP_407271027.1,0.0
BGC0000022.3,WP_407271027.1,0.0
WP_394091412.1,WP_407271027.1,0.0
WP_393975098.1,WP_407271027.1,0.0
BGC0000020.3,WP_407271027.1,0.0
WP_246736987.1,WP_407271027.1,0.0
WP_377874665.1,WP_407271027.1,0.0
WP_374374627.1,WP_407271027.1,0.0
WP_403409309.1,WP_407271027.1,0.0
WP_390290327.1,WP_407271027.1,0.0
WP_394058857.1,WP_407271027.1,0.0
WP_394946084.1,WP_407271027.1,0.0
UYT19774.1,WP_407271027.1,0.0
XOL52311.1,WP_407271027.1,0.0
XCP53806.1,WP_407271027.1,0.0
WP_415070495.1,WP_407271027.1,0.0
BGC0000010.3,WP_407271027.1,0.0
WP_402758273.1,WP_407271027.1,0.0
WP_400880729.1,WP_407271027.1,0.0
BGC0000023.5,WP_407271027.1,69.23
WP_148045554.1,WP_407271027.1,0.0
pdb|2N6Z|A,WP_407271027.1,0.0
WP_379130331.1,WP_407271027.1,0.0
WP_391559211.1,WP_407271027.1,0.0
WP_379090270.1,WP_407271027.1,0.0
WP_374309088.1,WP_407271027.1,0.0
WP_391375990.1,WP_407271027.1,0.0
BAT47516.1,WP_407271027.1,0.0
WP_378845721.1,WP_407271027.1,0.0
BGC0000026.5,WP_407271027.1,0.0
BGC0000003.3,WP_407271027.1,100.0
WP_394077114.1,WP_407271027.1,0.0
WP_407995776.1,WP_407271027.1,0.0
WP_414461653.1,WP_407271027.1,0.0
BGC0000024.5,WP_407271027.1,0.0
BGC0000018.5,WP_407271027.1,0.0
BGC0000016.4,WP_407271027.1,0.0
WP_394067533.1,WP_407271027.1,0.0
BGC0000001.5,WP_407271027.1,0.0
WP_394064521.1,WP_407271027.1,0.0
BAT47514.1,WP_407271027.1,0.0
WP_394081549.1,WP_407271027.1,0.0
WP_171695355.1,WP_407271027.1,0.0
WP_409979092.1,WP_407271027.1,0.0
WP_394100829.1,WP_407271027.1,0.0
BGC0000012.3,WP_407271027.1,0.0
WP_400765736.1,WP_407271027.1,0.0
WP_414116387.1,WP_407271027.1,0.0
WP_414590999.1,WP_407271027.1,0.0
XMG51263.1,WP_407271027.1,0.0
CAM2763972.1,WP_407271027.1,0.0
BGC0000009.3,WP_407271027.1,0.0
CAM3652502.1,WP_407271027.1,0.0
WP_402798883.1,WP_407271027.1,0.0
BFO63100.1,WP_407271027.1,0.0
WP_379036518.1,WP_407271027.1,0.0
WP_394088603.1,WP_407271027.1,0.0
BAT47513.1,WP_407271027.1,0.0
BAT47515.1,WP_407271027.1,0.0
WP_393996635.1,WP_407271027.1,0.0
WP_394111076.1,WP_407271027.1,0.0
WP_393957544.1,WP_407271027.1,0.0
BGC0000019.5,CAM3577162.1,0.0
WP_375275745.1,CAM3577162.1,0.0
WP_405707408.1,CAM3577162.1,0.0
WP_395697023.1,CAM3577162.1,0.0
WP_394032341.1,CAM3577162.1,0.0
XHV06635.1,CAM3577162.1,0.0
XJV75695.1,CAM3577162.1,0.0
WP_407866493.1,CAM3577162.1,0.0
WP_393988544.1,CAM3577162.1,0.0
WP_411903715.1,CAM3577162.1,0.0
WP_394040999.1,CAM3577162.1,0.0
WP_394076167.1,CAM3577162.1,0.0
XMF84248.1,CAM3577162.1,0.0
WP_395664523.1,CAM3577162.1,0.0
WP_412968760.1,CAM3577162.1,0.0
WP_138398174.1,CAM3577162.1,0.0
WP_407340944.1,CAM3577162.1,0.0
WP_374341810.1,CAM3577162.1,0.0
BGC0000004.3,CAM3577162.1,0.0
WP_404359873.1,CAM3577162.1,0.0
WP_393978746.1,CAM3577162.1,0.0
WP_407271027.1,CAM3577162.1,0.0
CAM3577162.1,CAM3577162.1,100.0
WP_374249988.1,CAM3577162.1,0.0
BGC0000014.5,CAM3577162.1,0.0
WP_209484166.1,CAM3577162.1,0.0
BGC0000002.5,CAM3577162.1,0.0
ABR83084.1,CAM3577162.1,0.0
BGC0000027.4,CAM3577162.1,0.0
WP_393991883.1,CAM3577162.1,0.0
WP_409562062.1,CAM3577162.1,0.0
BGC0000011.3,CAM3577162.1,0.0
WP_394111893.1,CAM3577162.1,0.0
XNO08232.1,CAM3577162.1,0.0
WP_391515705.1,CAM3577162.1,0.0
XKG22298.1,CAM3577162.1,0.0
WP_341081218.1,CAM3577162.1,0.0
XNO08231.1,CAM3577162.1,0.0
BGC0000028.5,CAM3577162.1,57.14
CAI8805946.1,CAM3577162.1,0.0
BGC0000021.5,CAM3577162.1,0.0
WP_405029742.1,CAM3577162.1,0.0
WP_407995214.1,CAM3577162.1,0.0
WP_394038837.1,CAM3577162.1,0.0
ARO18898.1,CAM3577162.1,0.0
BGC0000008.3,CAM3577162.1,0.0
WP_394034628.1,CAM3577162.1,0.0
BGC0000007.3,CAM3577162.1,0.0
WP_393984481.1,CAM3577162.1,0.0
WP_231883699.1,CAM3577162.1,0.0
WP_394008175.1,CAM3577162.1,0.0
BAT47512.1,CAM3577162.1,0.0
BGC0000006.3,CAM3577162.1,0.0
WP_409853016.1,CAM3577162.1,0.0
BGC0000017.5,CAM3577162.1,46.58
WP_394105113.1,CAM3577162.1,0.0
XHH54078.1,CAM3577162.1,0.0
BGC0000022.3,CAM3577162.1,0.0
WP_394091412.1,CAM3577162.1,0.0
WP_393975098.1,CAM3577162.1,0.0
BGC0000020.3,CAM3577162.1,44.59
WP_246736987.1,CAM3577162.1,0.0
WP_377874665.1,CAM3577162.1,0.0
WP_374374627.1,CAM3577162.1,0.0
WP_403409309.1,CAM3577162.1,0.0
WP_390290327.1,CAM3577162.1,0.0
WP_394058857.1,CAM3577162.1,0.0
WP_394946084.1,CAM3577162.1,0.0
UYT19774.1,CAM3577162.1,0.0
XOL52311.1,CAM3577162.1,0.0
XCP53806.1,CAM3577162.1,0.0
WP_415070495.1,CAM3577162.1,0.0
BGC0000010.3,CAM3577162.1,0.0
WP_402758273.1,CAM3577162.1,0.0
WP_400880729.1,CAM3577162.1,0.0
BGC0000023.5,CAM3577162.1,84.21
WP_148045554.1,CAM3577162.1,0.0
pdb|2N6Z|A,CAM3577162.1,0.0
WP_379130331.1,CAM3577162.1,0.0
WP_391559211.1,CAM3577162.1,0.0
WP_379090270.1,CAM3577162.1,0.0
WP_374309088.1,CAM3577162.1,0.0
WP_391375990.1,CAM3577162.1,0.0
BAT47516.1,CAM3577162.1,0.0
WP_378845721.1,CAM3577162.1,0.0
BGC0000026.5,CAM3577162.1,0.0
BGC0000003.3,CAM3577162.1,0.0
WP_394077114.1,CAM3577162.1,0.0
WP_407995776.1,CAM3577162.1,0.0
WP_414461653.1,CAM3577162.1,0.0
BGC0000024.5,CAM3577162.1,0.0
BGC0000018.5,CAM3577162.1,0.0
BGC0000016.4,CAM3577162.1,0.0
WP_394067533.1,CAM3577162.1,0.0
BGC0000001.5,CAM3577162.1,0.0
WP_394064521.1,CAM3577162.1,0.0
BAT47514.1,CAM3577162.1,0.0
WP_394081549.1,CAM3577162.1,0.0
WP_171695355.1,CAM3577162.1,0.0
WP_409979092.1,CAM3577162.1,0.0
WP_394100829.1,CAM3577162.1,0.0
BGC0000012.3,CAM3577162.1,0.0
WP_400765736.1,CAM3577162.1,0.0
WP_414116387.1,CAM3577162.1,0.0
WP_414590999.1,CAM3577162.1,0.0
XMG51263.1,CAM3577162.1,0.0
CAM2763972.1,CAM3577162.1,0.0
BGC0000009.3,CAM3577162.1,0.0
CAM3652502.1,CAM3577162.1,0.0
WP_402798883.1,CAM3577162.1,0.0
BFO63100.1,CAM3577162.1,0.0
WP_379036518.1,CAM3577162.1,0.0
WP_394088603.1,CAM3577162.1,0.0
BAT47513.1,CAM3577162.1,0.0
BAT47515.1,CAM3577162.1,0.0
WP_393996635.1,CAM3577162.1,0.0
WP_394111076.1,CAM3577162.1,0.0
WP_393957544.1,CAM3577162.1,0.0
BGC0000019.5,WP_374249988.1,76.92
WP_375275745.1,WP_374249988.1,0.0
WP_405707408.1,WP_374249988.1,0.0
WP_395697023.1,WP_374249988.1,0.0
WP_394032341.1,WP_374249988.1,0.0
XHV06635.1,WP_374249988.1,0.0
XJV75695.1,WP_374249988.1,0.0
WP_407866493.1,WP_374249988.1,0.0
WP_393988544.1,WP_374249988.1,0.0
WP_411903715.1,WP_374249988.1,0.0
WP_394040999.1,WP_374249988.1,0.0
WP_394076167.1,WP_374249988.1,0.0
XMF84248.1,WP_374249988.1,0.0
WP_395664523.1,WP_374249988.1,0.0
WP_412968760.1,WP_374249988.1,0.0
WP_138398174.1,WP_374249988.1,0.0
WP_407340944.1,WP_374249988.1,0.0
WP_374341810.1,WP_374249988.1,0.0
BGC0000004.3,WP_374249988.1,0.0
WP_404359873.1,WP_374249988.1,0.0
WP_393978746.1,WP_374249988.1,0.0
WP_407271027.1,WP_374249988.1,0.0
CAM3577162.1,WP_374249988.1,0.0
WP_374249988.1,WP_374249988.1,100.0
BGC0000014.5,WP_374249988.1,64.71
WP_209484166.1,WP_374249988.1,0.0
BGC0000002.5,WP_374249988.1,0.0
ABR83084.1,WP_374249988.1,0.0
BGC0000027.4,WP_374249988.1,0.0
WP_393991883.1,WP_374249988.1,0.0
WP_409562062.1,WP_374249988.1,0.0
BGC0000011.3,WP_374249988.1,0.0
WP_394111893.1,WP_374249988.1,0.0
XNO08232.1,WP_374249988.1,0.0
WP_391515705.1,WP_374249988.1,0.0
XKG22298.1,WP_374249988.1,0.0
WP_341081218.1,WP_374249988.1,0.0
XNO08231.1,WP_374249988.1,0.0
BGC0000028.5,WP_374249988.1,68.75
CAI8805946.1,WP_374249988.1,0.0
BGC0000021.5,WP_374249988.1,0.0
WP_405029742.1,WP_374249988.1,0.0
WP_407995214.1,WP_374249988.1,0.0
WP_394038837.1,WP_374249988.1,0.0
ARO18898.1,WP_374249988.1,0.0
BGC0000008.3,WP_374249988.1,0.0
WP_394034628.1,WP_374249988.1,0.0
BGC0000007.3,WP_374249988.1,0.0
WP_393984481.1,WP_374249988.1,0.0
WP_231883699.1,WP_374249988.1,0.0
WP_394008175.1,WP_374249988.1,0.0
BAT47512.1,WP_374249988.1,0.0
BGC0000006.3,WP_374249988.1,0.0
WP_409853016.1,WP_374249988.1,0.0
BGC0000017.5,WP_374249988.1,0.0
WP_394105113.1,WP_374249988.1,0.0
XHH54078.1,WP_374249988.1,0.0
BGC0000022.3,WP_374249988.1,0.0
WP_394091412.1,WP_374249988.1,0.0
WP_393975098.1,WP_374249988.1,0.0
BGC0000020.3,WP_374249988.1,0.0
WP_246736987.1,WP_374249988.1,0.0
WP_377874665.1,WP_374249988.1,0.0
WP_374374627.1,WP_374249988.1,0.0
WP_403409309.1,WP_374249988.1,0.0
WP_390290327.1,WP_374249988.1,0.0
WP_394058857.1,WP_374249988.1,0.0
WP_394946084.1,WP_374249988.1,0.0
UYT19774.1,WP_374249988.1,0.0
XOL52311.1,WP_374249988.1,0.0
XCP53806.1,WP_374249988.1,0.0
WP_415070495.1,WP_374249988.1,0.0
BGC0000010.3,WP_374249988.1,0.0
WP_402758273.1,WP_374249988.1,0.0
WP_400880729.1,WP_374249988.1,0.0
BGC0000023.5,WP_374249988.1,0.0
WP_148045554.1,WP_374249988.1,0.0
pdb|2N6Z|A,WP_374249988.1,0.0
WP_379130331.1,WP_374249988.1,0.0
WP_391559211.1,WP_374249988.1,0.0
WP_379090270.1,WP_374249988.1,0.0
WP_374309088.1,WP_374249988.1,0.0
WP_391375990.1,WP_374249988.1,0.0
BAT47516.1,WP_374249988.1,0.0
WP_378845721.1,WP_374249988.1,0.0
BGC0000026.5,WP_374249988.1,0.0
BGC0000003.3,WP_374249988.1,0.0
WP_394077114.1,WP_374249988.1,0.0
WP_407995776.1,WP_374249988.1,0.0
WP_414461653.1,WP_374249988.1,0.0
BGC0000024.5,WP_374249988.1,0.0
BGC0000018.5,WP_374249988.1,0.0
BGC0000016.4,WP_374249988.1,0.0
WP_394067533.1,WP_374249988.1,0.0
BGC0000001.5,WP_374249988.1,63.16
WP_394064521.1,WP_374249988.1,0.0
BAT47514.1,WP_374249988.1,0.0
WP_394081549.1,WP_374249988.1,0.0
WP_171695355.1,WP_374249988.1,0.0
WP_409979092.1,WP_374249988.1,0.0
WP_394100829.1,WP_374249988.1,0.0
BGC0000012.3,WP_374249988.1,0.0
WP_400765736.1,WP_374249988.1,0.0
WP_414116387.1,WP_374249988.1,0.0
WP_414590999.1,WP_374249988.1,0.0
XMG51263.1,WP_374249988.1,0.0
CAM2763972.1,WP_374249988.1,0.0
BGC0000009.3,WP_374249988.1,0.0
CAM3652502.1,WP_374249988.1,0.0
WP_402798883.1,WP_374249988.1,0.0
BFO63100.1,WP_374249988.1,0.0
WP_379036518.1,WP_374249988.1,0.0
WP_394088603.1,WP_374249988.1,0.0
BAT47513.1,WP_374249988.1,0.0
BAT47515.1,WP_374249988.1,0.0
WP_393996635.1,WP_374249988.1,0.0
WP_394111076.1,WP_374249988.1,0.0
WP_393957544.1,WP_374249988.1,0.0
BGC0000019.5,BGC0000014.5,0.0
WP_375275745.1,BGC0000014.5,70.59
WP_405707408.1,BGC0000014.5,52.78
WP_395697023.1,BGC0000014.5,64.0
WP_394032341.1,BGC0000014.5,0.0
XHV06635.1,BGC0000014.5,0.0
XJV75695.1,BGC0000014.5,0.0
WP_407866493.1,BGC0000014.5,75.0
WP_393988544.1,BGC0000014.5,0.0
WP_411903715.1,BGC0000014.5,66.67
WP_394040999.1,BGC0000014.5,0.0
WP_394076167.1,BGC0000014.5,0.0
XMF84248.1,BGC0000014.5,0.0
WP_395664523.1,BGC0000014.5,61.9
WP_412968760.1,BGC0000014.5,0.0
WP_138398174.1,BGC0000014.5,0.0
WP_407340944.1,BGC0000014.5,58.33
WP_374341810.1,BGC0000014.5,61.9
BGC0000004.3,BGC0000014.5,0.0
WP_404359873.1,BGC0000014.5,0.0
WP_393978746.1,BGC0000014.5,50.98
WP_407271027.1,BGC0000014.5,69.23
CAM3577162.1,BGC0000014.5,0.0
WP_374249988.1,BGC0000014.5,64.71
BGC0000014.5,BGC0000014.5,100.0
WP_209484166.1,BGC0000014.5,0.0
BGC0000002.5,BGC0000014.5,0.0
ABR83084.1,BGC0000014.5,0.0
BGC0000027.4,BGC0000014.5,0.0
WP_393991883.1,BGC0000014.5,60.0
WP_409562062.1,BGC0000014.5,0.0
BGC0000011.3,BGC0000014.5,0.0
WP_394111893.1,BGC0000014.5,0.0
XNO08232.1,BGC0000014.5,0.0
WP_391515705.1,BGC0000014.5,66.67
XKG22298.1,BGC0000014.5,80.0
WP_341081218.1,BGC0000014.5,0.0
XNO08231.1,BGC0000014.5,0.0
BGC0000028.5,BGC0000014.5,0.0
CAI8805946.1,BGC0000014.5,43.89
BGC0000021.5,BGC0000014.5,0.0
